,Subject Number ,1-Chlorononane,1-nonanol,1-Octadecene,"2,4-Diisopropylphenol",alpha-amylcinnamaldehyde,alpha-hexylcinnameldehyde,Benzophenone,Decanal,Dibutyl Phthalate,Dodecanoic acid,heptadecane,Hexadecane ,Hexyl salicylate,Isopropyl Myristate,Methyl Decanoate,Methyl palmitate,Napthalene,Nonanal,Octadecane,Pentadecane,Pristane,Tetradecane,Tetradecanoic acid,Undecanoic Acid,Isopropyl Palmitate,Isoamyl Salicylate,Decanoic Acid,Octacosane,0
0,M3-100818-LH,0,0.6245394129999999,0.0,0.0,0.0,0.0,0,4.374315084,0.0,4.9502249439999995,1.768834483,1.026703544,0,0.9177358179999999,0.0,1.042140868,0,1.5724080880000002,1.999205977,0.0,0.663281631,0.0,2.347639133,0,0.750516691,0,0.0,0.0,13
1,M3-100818-RH,0,0.590085747,0.0,0.0,0.0,0.0,0,3.9672145989999996,0.0,1.9683354169999998,0.830364497,0.0,0,0.96694095,5.692058605,0.818620867,0,1.549834559,0.956281116,0.0,0.0,0.0,1.810393546,0,0.606584414,0,0.0,0.0,12
2,M13-100818-LH,0,0.0,0.0,0.0,0.0,0.0,0,3.694289725,0.0,1.157115548,1.318914423,0.8562925579999999,0,2.9336746330000003,0.0,0.41397816600000004,0,1.933915441,1.136841855,0.0,0.559955755,0.0,1.008169868,0,0.0,0,0.0,0.0,11
3,M13-100818-RH,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.663482502,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,2
4,M14-100818-LH,0,0.514101725,0.0,0.0,0.0,0.0,0,2.338110764,0.0,1.371106607,1.449266,1.208800362,0,5.57803594,0.0,0.298649441,0,1.470533088,1.28705505,1.027994297,0.61698059,0.0,0.625230353,0,0.0,0,0.0,0.0,13
5,M14-100818-RH,0,0.0,0.0,0.0,0.0,0.0,0,0.683285785,0.0,0.0,0.528592884,0.626700309,0,0.0,0.794634958,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,5
6,F5-092718-LH,0,0.0,0.0,0.0,0.72925312,0.0,0,8.131220265,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.643682479,4
7,F5-092718-RH,0,0.5004330920000001,0.573010012,0.0,3.0652605360000003,0.542375,0,5.98266741,0.0,1.4186236069999998,0.664313,0.9460780000000001,0,0.0,0.0,0.0,0,3.857621762,0.535975,0.0,0.0,0.0,0.834333577,0,0.0,0,0.0,0.0,12
8,F10-092718-LH,0,0.0,0.0,0.0,1.627104025,0.0,0,3.946223756,0.0,0.666808587,0.5090640000000001,0.525011,0,0.0,0.0,0.0,0,3.985111508,0.0,1.570422,0.0,0.0,0.531473276,0,0.0,0,0.0,0.0,9
9,F10-092718-RH,0,0.688575478,0.692658427,0.0,3.8223825010000003,0.49876400000000004,0,4.618168071,0.337070429,2.4013399580000003,1.084463,1.0077770000000001,0,0.0,0.5883404999999999,0.0,0,3.7858386569999998,1.24986,1.839609,0.615896,0.0,2.076128417,0,0.0,0,0.0,0.816244196,17
10,M11-092718-LH,0,0.856872285,1.4028294,0.0,2.613465175,0.288083,0,4.6655689360000006,0.774406429,2.542375805,0.6712819999999999,0.0,0,0.0,0.0,0.0,0,7.72672921,0.6712819999999999,0.0,0.0,0.0,1.6212081680000001,0,0.0,0,0.0,1.616876775,13
11,M11-092718-RH,0,0.55855658,0.0,0.598403,1.749219998,0.859648,0,5.327151376000001,0.763050571,3.06142818,0.534051,0.727359,0,0.0,0.0,0.0,0,4.670436347,0.534051,1.275785,0.0,0.0,1.275486047,0,0.0,0,0.0,2.331352456,15
12,M12-092718-LH,0,0.574050512,0.0,0.0,1.149189781,0.442191,0,5.899465955,0.6886858570000001,0.785489648,0.759839,0.7181390000000001,0,0.0,0.0,0.0,0,5.381869428,0.759839,0.536801,0.0,2.72606,0.883028437,0,0.0,0,0.0,1.6085751209999999,15
13,M12-092718-RH,0,1.074576854,0.0,0.0,1.2655747370000001,0.5402170000000001,0,7.0484031410000005,0.630974143,0.7929776470000001,0.8473700000000001,0.7065060000000001,0,0.0,0.0,0.0,0,5.186828247,0.8473700000000001,0.6389640000000001,0.0,2.740798,0.8070636959999999,0,0.0,0,0.0,1.8362808590000002,15
14,F11-100118-LH,0,0.0,0.0,0.0,0.0,0.0,0,3.014771582,0.0,0.559174659,0.0,0.5899369999999999,0,0.874475,1.921677,0.0,0,2.370275946,25.648704000000002,0.0,0.0,0.0,0.529298322,0,1.055334,0,12.3546409,0.0,11
15,F11-100118-RH,0,0.0,0.0,0.0,0.0,0.0,0,5.47250474,0.0,0.0,0.0,0.662829,0,0.0,0.0,0.0,0,2.878512621,0.670331,0.0,0.0,0.0,0.0,0,0.0,0,21.5085478,0.0,6
16,F12-100118-LH,0,0.0,0.692825322,0.0,0.0,1.08359,0,4.083720208,0.0,0.8405299909999999,2.35057344,0.9277190000000001,0,1.566838,2.4662975,0.0,0,2.3918107490000002,3.374301,0.0,0.5466555000000001,1.347453,0.8659152059999999,0,1.4697209999999998,0,10.53347115,0.0,16
17,F12-100118-RH,0,0.581426688,0.894853418,0.0,0.0,0.956039,0,16.39409618,0.697072375,1.495977356,0.0,0.71409,0,0.0,0.8305030000000001,0.677496,0,5.542056958,2.178932,0.690525,0.0,3.1149080000000002,1.51981,0,0.0,0,48.10468735,0.0,16
18,F13-100118-LH,0,2.161884038,0.592489315,0.0,0.589845894,0.0,0,4.938589144,0.0,1.4241800669999998,1.052782617,1.043986,0,1.405993,2.7300255,0.0,0,3.636956995,29.102695,1.1232719999999998,0.9059955,2.046757,1.76476721,0,1.694087,0,25.35324724,0.0,18
19,F13-100118-RH,0,1.8748956769999998,0.753984621,0.0,0.0,0.5866520000000001,0,7.907244089,0.0,1.66999094,0.0,1.343995,0,2.648069,0.0,0.0,0,5.06607346,0.837225,1.5667520000000001,0.764191,0.0,2.867453347,0,1.225649,0,50.06968317,0.0,15
